Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
62              ,  293 25 27 ,   48 01 21,      4.178,      0.000,      0.000,       -2.850,        1.235,      2.795
63              ,  293 25 22 ,   60 07 42,      3.636,      0.000,      0.000,       -2.893,        1.253,      1.811
64              ,  293 25 23 ,   73 18 29,      3.333,      0.000,      0.000,       -2.929,        1.269,      0.957
65              ,  293 44 20 ,   85 27 29,      3.197,      0.000,      0.000,       -2.917,        1.283,      0.253
66              ,  293 44 13 ,  101 43 03,      3.298,      0.000,      0.000,       -2.956,        1.300,     -0.670
67              ,   34 24 17 ,  103 02 59,      2.539,      0.000,      0.000,        1.398,        2.041,     -0.573
68              ,   34 24 18 ,   93 24 40,      2.465,      0.000,      0.000,        1.390,        2.030,     -0.147
69              ,   35 46 41 ,   78 09 40,      2.539,      0.000,      0.000,        1.453,        2.016,      0.521
70              ,   36 50 25 ,   62 01 12,      2.833,      0.000,      0.000,        1.500,        2.003,      1.329
71              ,   37 36 59 ,   51 02 20,      3.227,      0.000,      0.000,        1.531,        1.987,      2.029
72              ,   37 36 58 ,   42 05 12,      3.710,      0.000,      0.000,        1.518,        1.970,      2.754
73              ,   37 37 05 ,   34 40 25,      4.332,      0.000,      0.000,        1.504,        1.952,      3.563
74              ,   38 50 51 ,   28 33 01,      5.187,      0.000,      0.000,        1.555,        1.931,      4.557
75              ,   33 23 19 ,   29 37 42,      4.701,      0.000,      0.000,        1.279,        1.940,      4.086
76              ,   33 10 40 ,   34 21 22,      4.142,      0.000,      0.000,        1.279,        1.957,      3.420
77              ,   32 17 38 ,   42 30 01,      3.460,      0.000,      0.000,        1.249,        1.976,      2.551
78              ,   31 22 20 ,   56 07 29,      2.818,      0.000,      0.000,        1.218,        1.998,      1.571
79              ,   29 29 50 ,   92 42 03,      2.335,      0.000,      0.000,        1.148,        2.030,     -0.110
80              ,  354 45 03 ,  122 05 25,      2.429,      0.000,      0.000,       -0.188,        2.049,     -1.290
81              ,  354 45 15 ,  104 28 00,      2.110,      0.000,      0.000,       -0.187,        2.035,     -0.527
82              ,  354 45 18 ,   89 25 21,      2.032,      0.000,      0.000,       -0.186,        2.023,      0.020
83              ,  354 45 16 ,   68 39 05,      2.162,      0.000,      0.000,       -0.184,        2.005,      0.787
84              ,  356 13 53 ,   52 32 27,      2.517,      0.000,      0.000,       -0.131,        1.993,      1.531
