   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
62              ,  132 01 16 ,   65 53 30,      2.603,      0.000,      0.000,        1.765,       -1.590,      1.063
63              ,  124 52 16 ,   56 26 30,      3.209,      0.000,      0.000,        2.194,       -1.529,      1.774
64              ,  120 00 33 ,   50 27 25,      3.832,      0.000,      0.000,        2.559,       -1.478,      2.439
65              ,  117 45 08 ,   45 24 17,      4.661,      0.000,      0.000,        2.937,       -1.546,      3.273
66              ,  114 34 13 ,   42 05 02,      5.315,      0.000,      0.000,        3.239,       -1.481,      3.944
67              ,  100 52 49 ,   41 22 26,      5.245,      0.000,      0.000,        3.404,       -0.654,      3.936
68              ,  100 53 01 ,   44 15 02,      4.601,      0.000,      0.000,        3.153,       -0.606,      3.295
69              ,  100 53 01 ,   48 59 39,      3.780,      0.000,      0.000,        2.802,       -0.539,      2.481
70              ,  102 55 20 ,   56 35 27,      2.878,      0.000,      0.000,        2.342,       -0.537,      1.585
71              ,  102 55 11 ,   63 02 30,      2.369,      0.000,      0.000,        2.058,       -0.472,      1.074
72              ,   77 33 01 ,   65 18 12,      2.625,      0.000,      0.000,        2.329,        0.514,      1.097
73              ,   77 32 51 ,   58 22 53,      3.211,      0.000,      0.000,        2.670,        0.590,      1.683
74              ,   77 32 53 ,   50 50 49,      4.157,      0.000,      0.000,        3.148,        0.695,      2.624
75              ,   77 32 52 ,   47 10 39,      4.769,      0.000,      0.000,        3.415,        0.754,      3.241
76              ,   77 32 53 ,   43 58 26,      5.417,      0.000,      0.000,        3.673,        0.811,      3.898
77              ,   66 02 37 ,   46 44 43,      5.832,      0.000,      0.000,        3.881,        1.725,      3.996
78              ,   64 43 00 ,   50 59 15,      5.132,      0.000,      0.000,        3.606,        1.703,      3.231
79              ,   62 19 15 ,   56 11 43,      4.519,      0.000,      0.000,        3.325,        1.744,      2.514
80              ,   63 26 39 ,   60 22 22,      3.850,      0.000,      0.000,        2.994,        1.496,      1.903
81              ,   57 10 23 ,   71 21 57,      3.253,      0.000,      0.000,        2.590,        1.671,      1.039
82              ,  119 50 52 ,   40 39 14,      5.101,      0.000,      0.000,        2.883,       -1.654,      3.870
83              ,  124 28 39 ,   36 54 18,      4.853,      0.000,      0.000,        2.402,       -1.650,      3.881
84              ,  124 28 34 ,   39 53 57,      4.552,      0.000,      0.000,        2.407,       -1.653,      3.492
85              ,  124 28 40 ,   45 45 33,      4.078,      0.000,      0.000,        2.409,       -1.654,      2.845
86              ,  130 40 46 ,   31 31 05,      4.842,      0.000,      0.000,        1.920,       -1.650,      4.128
87              ,  130 40 53 ,   35 57 37,      4.314,      0.000,      0.000,        1.921,       -1.651,      3.492
88              ,  130 40 47 ,   44 30 16,      3.641,      0.000,      0.000,        1.935,       -1.663,      2.596
89              ,  130 41 03 ,   51 42 11,      3.242,      0.000,      0.000,        1.929,       -1.658,      2.009
90              ,  140 02 00 ,   65 03 27,      2.388,      0.000,      0.000,        1.391,       -1.659,      1.007
91              ,  140 02 16 ,   49 31 56,      2.835,      0.000,      0.000,        1.385,       -1.653,      1.840
92              ,  140 02 11 ,   38 13 40,      3.486,      0.000,      0.000,        1.386,       -1.653,      2.738
93              ,  140 02 15 ,   30 58 12,      4.183,      0.000,      0.000,        1.383,       -1.650,      3.587
94              ,  140 02 24 ,   28 11 50,      4.536,      0.000,      0.000,        1.376,       -1.643,      3.997
95              ,  159 09 29 ,   23 24 14,      4.406,      0.000,      0.000,        0.623,       -1.636,      4.043
96              ,  159 09 25 ,   29 46 00,      3.539,      0.000,      0.000,        0.625,       -1.642,      3.072
97              ,  159 09 26 ,   46 30 32,      2.426,      0.000,      0.000,        0.626,       -1.645,      1.669
98              ,  159 09 21 ,   67 22 41,      1.908,      0.000,      0.000,        0.627,       -1.646,      0.734
99              ,  159 09 24 ,   89 35 24,      1.766,      0.000,      0.000,        0.628,       -1.651,      0.013
100             ,  159 09 22 ,   98 48 56,      1.796,      0.000,      0.000,        0.632,       -1.659,     -0.275
101             ,  187 50 21 ,   22 05 18,      4.364,      0.000,      0.000,       -0.224,       -1.626,      4.043
102             ,  187 50 14 ,   31 18 37,      3.165,      0.000,      0.000,       -0.224,       -1.629,      2.704
103             ,  187 50 17 ,   47 46 44,      2.223,      0.000,      0.000,       -0.224,       -1.631,      1.494
104             ,  187 50 09 ,   73 06 33,      1.721,      0.000,      0.000,       -0.225,       -1.632,      0.500
105             ,  187 00 17 ,  108 46 38,      1.741,      0.000,      0.000,       -0.201,       -1.636,     -0.560
106             ,  187 01 04 ,  125 43 43,      2.024,      0.000,      0.000,       -0.201,       -1.631,     -1.182
107             ,  208 27 44 ,  120 14 18,      2.135,      0.000,      0.000,       -0.879,       -1.622,     -1.075
108             ,  208 27 55 ,   79 18 20,      1.880,      0.000,      0.000,       -0.880,       -1.624,      0.349
109             ,  208 28 05 ,   59 59 38,      2.130,      0.000,      0.000,       -0.879,       -1.621,      1.065
110             ,  208 27 56 ,   47 18 48,      2.504,      0.000,      0.000,       -0.877,       -1.618,      1.698
111             ,  208 28 02 ,   33 32 21,      3.330,      0.000,      0.000,       -0.877,       -1.617,      2.775
112             ,  208 28 10 ,   24 20 13,      4.461,      0.000,      0.000,       -0.876,       -1.616,      4.064
113             ,  221 41 10 ,   27 11 36,      4.715,      0.000,      0.000,       -1.433,       -1.609,      4.194
114             ,  221 01 30 ,   34 07 40,      3.795,      0.000,      0.000,       -1.398,       -1.606,      3.141
115             ,  221 01 31 ,   44 37 45,      3.031,      0.000,      0.000,       -1.398,       -1.606,      2.157
116             ,  220 36 18 ,   64 08 19,      2.359,      0.000,      0.000,       -1.381,       -1.611,      1.029
117             ,  220 36 28 ,   93 39 47,      2.132,      0.000,      0.000,       -1.385,       -1.616,     -0.136
118             ,  219 27 53 ,  119 09 55,      2.402,      0.000,      0.000,       -1.333,       -1.620,     -1.171
119             ,  225 23 04 ,  119 07 06,      2.458,      0.000,      0.000,       -1.528,       -1.508,     -1.196
120             ,  225 23 02 ,   99 20 33,      2.169,      0.000,      0.000,       -1.523,       -1.503,     -0.352
121             ,  225 22 58 ,   76 11 44,      2.204,      0.000,      0.000,       -1.523,       -1.503,      0.526
122             ,  225 22 59 ,   62 56 19,      2.408,      0.000,      0.000,       -1.526,       -1.506,      1.095
123             ,  225 22 52 ,   42 16 39,      3.192,      0.000,      0.000,       -1.528,       -1.508,      2.362
124             ,  225 22 52 ,   34 23 20,      3.811,      0.000,      0.000,       -1.532,       -1.512,      3.145
125             ,  225 23 14 ,   27 36 48,      4.668,      0.000,      0.000,       -1.540,       -1.520,      4.137
126             ,  247 37 45 ,   21 49 55,      4.440,      0.000,      0.000,       -1.527,       -0.628,      4.122
127             ,  247 37 35 ,   30 34 51,      3.239,      0.000,      0.000,       -1.524,       -0.627,      2.788
128             ,  247 37 33 ,   35 24 36,      2.840,      0.000,      0.000,       -1.522,       -0.626,      2.315
129             ,  247 37 28 ,   58 01 06,      1.939,      0.000,      0.000,       -1.521,       -0.626,      1.027
130             ,  247 37 28 ,   96 21 04,      1.656,      0.000,      0.000,       -1.522,       -0.627,     -0.183
131             ,  247 37 55 ,  126 30 11,      2.048,      0.000,      0.000,       -1.523,       -0.627,     -1.218
132             ,  284 19 28 ,  126 29 09,      1.937,      0.000,      0.000,       -1.509,        0.385,     -1.152
133             ,  284 19 31 ,   78 23 07,      1.592,      0.000,      0.000,       -1.511,        0.386,      0.321
134             ,  284 19 41 ,   55 07 32,      1.899,      0.000,      0.000,       -1.509,        0.385,      1.086
135             ,  284 19 39 ,   32 30 21,      2.904,      0.000,      0.000,       -1.512,        0.386,      2.449
136             ,  284 19 34 ,   25 37 01,      3.611,      0.000,      0.000,       -1.513,        0.386,      3.256
137             ,  284 19 42 ,   20 34 00,      4.459,      0.000,      0.000,       -1.518,        0.388,      4.175
138             ,  312 29 39 ,   26 39 40,      4.559,      0.000,      0.000,       -1.508,        1.382,      4.074
139             ,  312 29 14 ,   34 00 26,      3.640,      0.000,      0.000,       -1.501,        1.375,      3.017
140             ,  312 29 28 ,   40 58 49,      3.102,      0.000,      0.000,       -1.500,        1.374,      2.342
141             ,  312 29 23 ,   62 56 33,      2.284,      0.000,      0.000,       -1.500,        1.374,      1.039
142             ,  312 29 09 ,   86 13 16,      2.036,      0.000,      0.000,       -1.498,        1.372,      0.134
143             ,  312 34 22 ,  118 35 03,      2.316,      0.000,      0.000,       -1.498,        1.376,     -1.108
144             ,  320 58 38 ,  117 12 29,      2.664,      0.000,      0.000,       -1.491,        1.840,     -1.218
145             ,  320 58 28 ,  100 59 02,      2.421,      0.000,      0.000,       -1.497,        1.846,     -0.461
146             ,  320 58 24 ,   73 46 33,      2.470,      0.000,      0.000,       -1.494,        1.843,      0.690
147             ,  320 58 31 ,   65 15 55,      2.615,      0.000,      0.000,       -1.496,        1.845,      1.094
148             ,  320 58 26 ,   45 01 59,      3.361,      0.000,      0.000,       -1.497,        1.847,      2.375
149             ,  320 58 19 ,   36 46 00,      3.971,      0.000,      0.000,       -1.497,        1.847,      3.181
150             ,  320 58 25 ,   29 58 50,      4.774,      0.000,      0.000,       -1.502,        1.853,      4.136
151             ,  114 21 26 ,   39 17 30,      5.331,      0.000,      0.000,        3.076,       -1.392,      4.126
152             ,   95 20 10 ,   39 17 28,      5.317,      0.000,      0.000,        3.352,       -0.313,      4.115
153             ,   80 36 05 ,   41 16 45,      5.465,      0.000,      0.000,        3.557,        0.589,      4.107
154             ,   65 48 42 ,   44 39 01,      5.756,      0.000,      0.000,        3.690,        1.657,      4.095
155             ,   56 15 04 ,   36 21 34,      5.141,      0.000,      0.000,        2.534,        1.693,      4.140
156             ,   78 36 38 ,   30 59 19,      4.843,      0.000,      0.000,        2.444,        0.492,      4.151
157             ,  100 49 48 ,   30 59 20,      4.844,      0.000,      0.000,        2.450,       -0.469,      4.153
158             ,  122 42 03 ,   33 09 16,      4.966,      0.000,      0.000,        2.285,       -1.467,      4.157
159             ,  133 47 44 ,   27 36 49,      4.726,      0.000,      0.000,        1.581,       -1.516,      4.187
160             ,  112 02 47 ,   22 54 05,      4.544,      0.000,      0.000,        1.639,       -0.664,      4.186
161             ,   78 40 34 ,   22 53 59,      4.536,      0.000,      0.000,        1.731,        0.347,      4.179
162             ,   53 46 10 ,   26 13 48,      4.658,      0.000,      0.000,        1.661,        1.217,      4.178
163             ,   42 45 45 ,   31 23 52,      4.890,      0.000,      0.000,        1.730,        1.870,      4.174
164             ,   23 21 29 ,   25 22 00,      4.659,      0.000,      0.000,        0.791,        1.833,      4.210
165             ,   35 47 50 ,   16 56 51,      4.405,      0.000,      0.000,        0.751,        1.041,      4.213
166             ,   85 46 46 ,   10 46 52,      4.288,      0.000,      0.000,        0.800,        0.059,      4.213
167             ,  143 38 01 ,   15 01 41,      4.367,      0.000,      0.000,        0.671,       -0.912,      4.218
168             ,  156 08 16 ,   21 39 29,      4.540,      0.000,      0.000,        0.678,       -1.532,      4.220
169             ,  186 22 33 ,   19 59 52,      4.523,      0.000,      0.000,       -0.172,       -1.537,      4.250
