Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
62              ,  138 36 35 ,  121 58 06,      1.607,      0.000,      0.000,        0.902,       -1.023,     -0.851
63              ,  105 04 36 ,  128 31 48,      1.442,      0.000,      0.000,        1.090,       -0.294,     -0.899
64              ,   71 59 17 ,  123 44 02,      1.642,      0.000,      0.000,        1.298,        0.422,     -0.912
65              ,   51 51 56 ,  118 28 32,      2.108,      0.000,      0.000,        1.457,        1.144,     -1.005
66              ,   52 24 05 ,  103 37 12,      2.311,      0.000,      0.000,        1.780,        1.371,     -0.544
67              ,   54 09 47 ,   95 07 52,      2.406,      0.000,      0.000,        1.943,        1.403,     -0.215
68              ,   56 41 07 ,   85 52 38,      2.512,      0.000,      0.000,        2.093,        1.376,      0.181
69              ,   62 24 28 ,   85 13 43,      2.285,      0.000,      0.000,        2.018,        1.055,      0.190
70              ,   76 08 36 ,   84 18 36,      1.941,      0.000,      0.000,        1.876,        0.463,      0.192
71              ,   90 51 57 ,   83 09 26,      1.778,      0.000,      0.000,        1.765,       -0.027,      0.212
72              ,  107 45 37 ,   83 08 05,      1.726,      0.000,      0.000,        1.632,       -0.523,      0.206
73              ,  118 34 56 ,   83 07 55,      1.777,      0.000,      0.000,        1.549,       -0.844,      0.212
74              ,  130 31 33 ,   83 08 01,      1.922,      0.000,      0.000,        1.450,       -1.240,      0.230
75              ,  138 20 55 ,  102 19 08,      1.736,      0.000,      0.000,        1.127,       -1.267,     -0.370
76              ,  122 15 57 ,  104 29 07,      1.526,      0.000,      0.000,        1.249,       -0.789,     -0.382
77              ,  111 20 38 ,  104 29 14,      1.477,      0.000,      0.000,        1.332,       -0.521,     -0.370
78              ,   91 19 31 ,  106 23 49,      1.506,      0.000,      0.000,        1.444,       -0.033,     -0.425
79              ,   79 41 39 ,  106 23 42,      1.606,      0.000,      0.000,        1.516,        0.276,     -0.453
80              ,   66 47 18 ,  106 23 39,      1.815,      0.000,      0.000,        1.600,        0.686,     -0.512
81              ,   75 02 45 ,   96 22 29,      1.765,      0.000,      0.000,        1.694,        0.453,     -0.196
82              ,   99 55 23 ,   94 44 50,      1.559,      0.000,      0.000,        1.530,       -0.268,     -0.129
83              ,   59 45 42 ,   77 29 53,      2.606,      0.000,      0.000,        2.198,        1.281,      0.564
84              ,   60 49 54 ,   68 05 27,      2.901,      0.000,      0.000,        2.350,        1.312,      1.083
85              ,   61 55 02 ,   59 31 36,      3.298,      0.000,      0.000,        2.508,        1.338,      1.673
86              ,   80 03 19 ,   52 58 33,      3.058,      0.000,      0.000,        2.405,        0.422,      1.842
87              ,   92 12 15 ,   52 20 31,      2.911,      0.000,      0.000,        2.303,       -0.089,      1.779
88              ,  103 16 08 ,   51 42 45,      2.928,      0.000,      0.000,        2.237,       -0.528,      1.814
89              ,  111 01 35 ,   52 40 47,      2.926,      0.000,      0.000,        2.172,       -0.835,      1.774
90              ,  120 46 31 ,   53 55 15,      3.029,      0.000,      0.000,        2.103,       -1.253,      1.784
91              ,  122 54 28 ,   62 22 34,      2.512,      0.000,      0.000,        1.869,       -1.209,      1.165
92              ,  126 02 20 ,   73 16 58,      2.113,      0.000,      0.000,        1.637,       -1.191,      0.608
93              ,  114 15 51 ,   73 17 07,      1.976,      0.000,      0.000,        1.725,       -0.778,      0.568
94              ,  105 58 45 ,   73 17 02,      1.941,      0.000,      0.000,        1.787,       -0.512,      0.558
95              ,   92 53 58 ,   73 16 58,      1.977,      0.000,      0.000,        1.891,       -0.096,      0.569
96              ,   83 10 30 ,   75 01 53,      2.032,      0.000,      0.000,        1.949,        0.233,      0.525
97              ,   72 15 32 ,   76 04 59,      2.218,      0.000,      0.000,        2.050,        0.656,      0.533
98              ,   64 27 24 ,   77 39 14,      2.407,      0.000,      0.000,        2.121,        1.014,      0.515
99              ,   64 14 39 ,   66 27 56,      2.812,      0.000,      0.000,        2.322,        1.120,      1.123
100             ,   79 03 00 ,   62 58 55,      2.507,      0.000,      0.000,        2.193,        0.424,      1.139
101             ,   98 00 59 ,   59 54 22,      2.422,      0.000,      0.000,        2.075,       -0.292,      1.214
102             ,  116 28 26 ,   59 54 10,      2.526,      0.000,      0.000,        1.957,       -0.974,      1.267
103             ,  124 37 55 ,   54 36 23,      2.949,      0.000,      0.000,        1.978,       -1.366,      1.708
104             ,  127 40 20 ,   62 14 41,      2.503,      0.000,      0.000,        1.753,       -1.354,      1.166
105             ,  131 22 07 ,   71 52 23,      2.149,      0.000,      0.000,        1.533,       -1.350,      0.669
106             ,  137 49 22 ,   90 13 57,      1.821,      0.000,      0.000,        1.223,       -1.350,     -0.007
107             ,  145 07 32 ,  106 24 51,      1.728,      0.000,      0.000,        0.948,       -1.360,     -0.488
108             ,  163 30 32 ,  130 08 35,      1.866,      0.000,      0.000,        0.405,       -1.367,     -1.203
109             ,  132 38 21 ,   48 52 20,      2.682,      0.000,      0.000,        1.486,       -1.368,      1.764
110             ,  132 38 28 ,   60 24 06,      2.305,      0.000,      0.000,        1.474,       -1.358,      1.139
111             ,  142 27 41 ,   44 33 45,      2.460,      0.000,      0.000,        1.052,       -1.369,      1.753
112             ,  142 27 35 ,   56 48 51,      2.052,      0.000,      0.000,        1.046,       -1.362,      1.123
113             ,  142 27 35 ,   71 12 13,      1.812,      0.000,      0.000,        1.045,       -1.360,      0.584
114             ,  142 27 39 ,   90 47 12,      1.710,      0.000,      0.000,        1.042,       -1.356,     -0.023
115             ,  166 13 17 ,  131 25 34,      1.878,      0.000,      0.000,        0.335,       -1.368,     -1.243
116             ,  166 13 17 ,  102 18 21,      1.444,      0.000,      0.000,        0.336,       -1.370,     -0.308
117             ,  166 13 20 ,   82 35 36,      1.419,      0.000,      0.000,        0.335,       -1.367,      0.183
118             ,  166 13 25 ,   64 04 27,      1.567,      0.000,      0.000,        0.335,       -1.368,      0.685
119             ,  166 13 27 ,   50 04 08,      1.839,      0.000,      0.000,        0.336,       -1.369,      1.180
120             ,  166 13 25 ,   39 31 51,      2.217,      0.000,      0.000,        0.336,       -1.371,      1.710
121             ,  192 21 37 ,   42 06 37,      2.093,      0.000,      0.000,       -0.300,       -1.371,      1.553
122             ,  192 21 37 ,   54 23 59,      1.724,      0.000,      0.000,       -0.300,       -1.369,      1.003
123             ,  192 21 37 ,   66 40 47,      1.527,      0.000,      0.000,       -0.300,       -1.370,      0.605
124             ,  192 21 34 ,   91 07 01,      1.403,      0.000,      0.000,       -0.300,       -1.370,     -0.027
