     -3367.8330,	       -169.4799,	       4313.9998 ; 		 //plane 12 point @75 
     -3008.0142,	       -248.2410,	       5361.5094 ; 		 //plane 12 point @76 
      -617.8004,	       8529.6408,	       5395.2059 ; 		 //plane 12 point @77 
      -997.2161,	       8534.0691,	       4349.1807 ; 		 //plane 12 point @78 
     -3751.3315,	      -4569.7337,	       3384.0009 ; 		 //plane 13  NOT REORDER point @79 
     -3416.7318,	      -1115.9692,	       4211.4437 ; 		 //plane 13  NOT REORDER point @80 
     -3008.0142,	       -248.2410,	       5361.5094 ; 		 //plane 13  NOT REORDER point @81 
     -3325.9249,	       -178.6532,	       4436.0032 ; 		 //plane 13  NOT REORDER point @82 
     -3071.9540,	      -4568.0202,	       5355.5596 ; 		 //plane 13  NOT REORDER point @83 
     -3406.1999,	      -4568.8632,	       4385.5755 ; 		 //plane 13  NOT REORDER point @84 
     -1830.5984,	       3158.6878,	       5376.9749 ; 		 //plane 14 point @85 
     -1776.2155,	      -4564.7519,	       5367.9497 ; 		 //plane 14 point @86 
     -1784.2413,	      -4564.7722,	       6857.9549 ; 		 //plane 14 point @87 
     -1838.5498,	       3150.1130,	       6864.3499 ; 		 //plane 14 point @88 
     -1830.5984,	       3158.6878,	       5376.9749 ; 		 //plane 14 point @89 
     -3416.7318,	      -1115.9692,	       4211.4437 ; 		 //plane 15 point @90 
     -3413.4468,	      -4568.8815,	       1897.0411 ; 		 //plane 15 point @91 
     -3406.1999,	      -4568.8632,	       4385.5755 ; 		 //plane 15 point @92 
     -3416.7318,	      -1115.9692,	       4211.4437 ; 		 //plane 15 point @93 
