Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
109             ,  350 26 48 ,   85 51 04,      5.533,      0.000,      0.000,       -0.916,        5.442,      0.400
110             ,  348 45 31 ,   78 32 56,      5.698,      0.000,      0.000,       -1.089,        5.478,      1.131
111             ,  345 34 04 ,   69 42 47,      5.830,      0.000,      0.000,       -1.363,        5.296,      2.021
112             ,  345 33 57 ,   63 21 13,      6.615,      0.000,      0.000,       -1.474,        5.726,      2.967
113             ,  337 32 01 ,   57 37 31,      5.728,      0.000,      0.000,       -1.849,        4.470,      3.067
114             ,  337 32 10 ,   61 36 50,      5.248,      0.000,      0.000,       -1.764,        4.266,      2.495
115             ,  339 35 38 ,   69 36 06,      4.808,      0.000,      0.000,       -1.571,        4.223,      1.676
116             ,  342 49 04 ,   79 04 10,      4.626,      0.000,      0.000,       -1.342,        4.339,      0.877
117             ,  345 16 05 ,   86 39 07,      4.587,      0.000,      0.000,       -1.164,        4.428,      0.268
118             ,  346 42 53 ,   93 57 09,      4.522,      0.000,      0.000,       -1.037,        4.391,     -0.312
119             ,  335 43 55 ,   95 50 54,      3.402,      0.000,      0.000,       -1.391,        3.085,     -0.347
120             ,  333 43 17 ,   85 48 45,      3.474,      0.000,      0.000,       -1.534,        3.107,      0.254
121             ,  331 19 15 ,   75 40 45,      3.646,      0.000,      0.000,       -1.696,        3.100,      0.902
122             ,  329 03 44 ,   68 20 37,      3.832,      0.000,      0.000,       -1.831,        3.055,      1.414
123             ,  327 56 52 ,   59 49 35,      4.332,      0.000,      0.000,       -1.988,        3.174,      2.177
124             ,  325 24 27 ,   51 51 49,      4.913,      0.000,      0.000,       -2.194,        3.181,      3.034
125             ,  308 03 51 ,   46 33 00,      4.375,      0.000,      0.000,       -2.501,        1.958,      3.009
126             ,  308 04 04 ,   54 20 27,      3.635,      0.000,      0.000,       -2.325,        1.821,      2.119
127             ,  310 28 17 ,   68 16 16,      2.957,      0.000,      0.000,       -2.090,        1.783,      1.095
128             ,  311 36 30 ,   79 09 12,      2.668,      0.000,      0.000,       -1.959,        1.740,      0.502
129             ,  311 36 22 ,   97 35 02,      2.427,      0.000,      0.000,       -1.799,        1.597,     -0.320
130             ,  280 18 29 ,   99 59 43,      2.183,      0.000,      0.000,       -2.115,        0.385,     -0.379
131             ,  280 18 54 ,   80 02 49,      2.365,      0.000,      0.000,       -2.291,        0.417,      0.409
132             ,  280 18 54 ,   64 05 15,      2.797,      0.000,      0.000,       -2.475,        0.450,      1.222
133             ,  280 18 56 ,   52 27 09,      3.420,      0.000,      0.000,       -2.668,        0.486,      2.084
134             ,  280 18 54 ,   44 27 32,      4.142,      0.000,      0.000,       -2.854,        0.519,      2.956
135             ,  280 07 18 ,   38 35 54,      4.992,      0.000,      0.000,       -3.066,        0.547,      3.902
136             ,  310 24 52 ,   40 46 33,      5.381,      0.000,      0.000,       -2.676,        2.278,      4.075
137             ,  328 07 06 ,   47 05 26,      5.942,      0.000,      0.000,       -2.299,        3.695,      4.045
138             ,  263 16 38 ,   98 28 38,      2.318,      0.000,      0.000,       -2.277,       -0.268,     -0.342
139             ,  263 16 46 ,   83 31 36,      2.449,      0.000,      0.000,       -2.417,       -0.285,      0.276
140             ,  264 22 13 ,   72 01 44,      2.679,      0.000,      0.000,       -2.536,       -0.250,      0.827
141             ,  264 22 12 ,   61 53 33,      3.047,      0.000,      0.000,       -2.675,       -0.264,      1.436
142             ,  264 22 13 ,   51 53 56,      3.658,      0.000,      0.000,       -2.865,       -0.282,      2.257
143             ,  264 22 11 ,   46 00 54,      4.221,      0.000,      0.000,       -3.023,       -0.298,      2.932
144             ,  247 03 55 ,   49 59 41,      4.499,      0.000,      0.000,       -3.174,       -1.343,      2.893
145             ,  247 03 55 ,   57 22 22,      3.829,      0.000,      0.000,       -2.970,       -1.256,      2.064
146             ,  247 03 53 ,   63 53 17,      3.423,      0.000,      0.000,       -2.831,       -1.198,      1.507
147             ,  247 03 51 ,   76 02 09,      2.953,      0.000,      0.000,       -2.639,       -1.117,      0.713
148             ,  244 06 36 ,   96 29 23,      2.694,      0.000,      0.000,       -2.408,       -1.169,     -0.305
149             ,  229 08 24 ,   95 27 30,      3.390,      0.000,      0.000,       -2.552,       -2.208,     -0.322
150             ,  231 26 48 ,   82 07 53,      3.536,      0.000,      0.000,       -2.739,       -2.183,      0.484
151             ,  234 11 40 ,   69 47 53,      3.846,      0.000,      0.000,       -2.927,       -2.112,      1.328
