Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
62              ,   12 14 25 ,   80 58 14,      9.421,      0.000,      0.000,        1.973,        9.092,      1.478
63              ,   12 14 29 ,   74 08 22,      9.671,      0.000,      0.000,        1.973,        9.091,      2.643
64              ,   12 14 32 ,   64 55 11,     10.281,      0.000,      0.000,        1.975,        9.100,      4.358
65              ,   12 14 19 ,   61 03 08,     10.647,      0.000,      0.000,        1.975,        9.105,      5.153
66              ,   10 23 57 ,   63 04 43,     10.383,      0.000,      0.000,        1.671,        9.105,      4.701
67              ,   10 23 59 ,   69 19 45,      9.890,      0.000,      0.000,        1.670,        9.101,      3.491
68              ,   10 24 02 ,   78 11 57,      9.449,      0.000,      0.000,        1.670,        9.097,      1.932
69              ,   10 24 02 ,   86 39 22,      9.256,      0.000,      0.000,        1.668,        9.089,      0.540
70              ,   10 23 59 ,   93 31 48,      9.248,      0.000,      0.000,        1.666,        9.079,     -0.569
71              ,    2 42 28 ,   98 28 23,      9.208,      0.000,      0.000,        0.430,        9.098,     -1.357
72              ,    2 35 31 ,   91 06 39,      9.113,      0.000,      0.000,        0.412,        9.102,     -0.177
73              ,    2 35 36 ,   78 47 04,      9.302,      0.000,      0.000,        0.413,        9.115,      1.809
74              ,    2 35 38 ,   70 15 01,      9.703,      0.000,      0.000,        0.413,        9.123,      3.279
75              ,    2 35 38 ,   62 41 22,     10.284,      0.000,      0.000,        0.414,        9.129,      4.719
76              ,    2 35 15 ,   54 09 12,     11.288,      0.000,      0.000,        0.413,        9.140,      6.610
77              ,    0 29 19 ,   54 09 32,     11.279,      0.000,      0.000,        0.078,        9.143,      6.604
78              ,    0 29 16 ,   62 25 37,     10.304,      0.000,      0.000,        0.078,        9.133,      4.769
79              ,    0 29 13 ,   74 28 28,      9.466,      0.000,      0.000,        0.078,        9.120,      2.534
80              ,    0 29 12 ,   84 13 28,      9.157,      0.000,      0.000,        0.077,        9.110,      0.921
81              ,    0 29 17 ,   97 27 58,      9.178,      0.000,      0.000,        0.078,        9.100,     -1.193
82              ,  352 26 35 ,   95 50 48,      9.241,      0.000,      0.000,       -1.209,        9.113,     -0.941
83              ,  352 26 34 ,   86 40 11,      9.216,      0.000,      0.000,       -1.210,        9.120,      0.535
84              ,  352 26 41 ,   75 31 02,      9.511,      0.000,      0.000,       -1.211,        9.129,      2.379
85              ,  352 26 47 ,   67 23 15,      9.982,      0.000,      0.000,       -1.211,        9.135,      3.838
86              ,  352 26 49 ,   59 02 11,     10.757,      0.000,      0.000,       -1.212,        9.144,      5.534
87              ,  352 26 20 ,   54 30 42,     11.334,      0.000,      0.000,       -1.214,        9.148,      6.580
88              ,  350 06 22 ,   54 30 43,     11.407,      0.000,      0.000,       -1.596,        9.150,      6.622
89              ,  350 06 20 ,   60 40 08,     10.646,      0.000,      0.000,       -1.595,        9.143,      5.215
90              ,  350 06 19 ,   68 34 46,      9.961,      0.000,      0.000,       -1.593,        9.135,      3.638
91              ,  350 06 23 ,   77 40 52,      9.483,      0.000,      0.000,       -1.592,        9.127,      2.023
92              ,  350 06 23 ,   85 13 24,      9.292,      0.000,      0.000,       -1.591,        9.122,      0.774
93              ,  350 06 26 ,   94 50 02,      9.287,      0.000,      0.000,       -1.590,        9.117,     -0.783
94              ,  342 46 19 ,   93 18 53,      9.572,      0.000,      0.000,       -2.830,        9.127,     -0.553
95              ,  342 46 18 ,   81 36 58,      9.665,      0.000,      0.000,       -2.832,        9.133,      1.409
96              ,  342 46 23 ,   71 11 07,     10.108,      0.000,      0.000,       -2.834,        9.139,      3.260
97              ,  342 46 30 ,   61 32 47,     10.886,      0.000,      0.000,       -2.834,        9.142,      5.187
98              ,  342 46 06 ,   55 01 35,     11.686,      0.000,      0.000,       -2.837,        9.146,      6.698
99              ,  341 00 16 ,   55 01 51,     11.799,      0.000,      0.000,       -3.147,        9.143,      6.763
100             ,  341 00 30 ,   63 04 39,     10.837,      0.000,      0.000,       -3.144,        9.137,      4.907
101             ,  341 00 34 ,   70 47 01,     10.233,      0.000,      0.000,       -3.144,        9.137,      3.368
102             ,  341 00 34 ,   80 45 19,      9.784,      0.000,      0.000,       -3.143,        9.132,      1.572
103             ,  341 00 33 ,   91 40 05,      9.659,      0.000,      0.000,       -3.142,        9.130,     -0.281
104             ,   13 12 55 ,   93 47 42,      8.920,      0.000,      0.000,        2.035,        8.665,     -0.590
105             ,   11 23 27 ,   98 36 31,      9.072,      0.000,      0.000,        1.772,        8.793,     -1.358
106             ,   14 19 32 ,  100 14 09,      7.926,      0.000,      0.000,        1.930,        7.557,     -1.408
107             ,   19 41 35 ,  102 20 20,      6.530,      0.000,      0.000,        2.150,        6.006,     -1.395
108             ,   23 38 10 ,  103 48 43,      5.785,      0.000,      0.000,        2.252,        5.147,     -1.381
109             ,   25 28 00 ,   95 12 03,      5.890,      0.000,      0.000,        2.522,        5.296,     -0.534
110             ,   20 48 51 ,   94 30 56,      6.760,      0.000,      0.000,        2.395,        6.299,     -0.532
111             ,   16 49 59 ,   94 00 21,      7.747,      0.000,      0.000,        2.238,        7.397,     -0.541
112             ,   14 48 19 ,   94 03 29,      8.345,      0.000,      0.000,        2.127,        8.048,     -0.591
113             ,   12 03 49 ,   95 55 39,      9.122,      0.000,      0.000,        1.896,        8.873,     -0.942
114             ,   15 15 40 ,   97 05 22,      7.948,      0.000,      0.000,        2.076,        7.609,     -0.981
115             ,   20 06 33 ,   98 32 14,      6.656,      0.000,      0.000,        2.263,        6.181,     -0.988
116             ,   24 07 02 ,   99 53 47,      5.879,      0.000,      0.000,        2.367,        5.286,     -1.010
117             ,   17 22 12 ,   80 33 10,      8.659,      0.000,      0.000,        2.550,        8.152,      1.421
118             ,   16 22 27 ,   86 14 43,      8.453,      0.000,      0.000,        2.378,        8.093,      0.554
119             ,   13 33 11 ,   90 21 20,      9.120,      0.000,      0.000,        2.137,        8.865,     -0.057
120             ,   13 33 48 ,   91 57 58,      8.969,      0.000,      0.000,        2.102,        8.714,     -0.308
121             ,   19 08 35 ,   92 45 16,      7.226,      0.000,      0.000,        2.367,        6.819,     -0.347
122             ,   24 50 55 ,   93 32 55,      6.070,      0.000,      0.000,        2.546,        5.498,     -0.376
123             ,   23 00 11 ,   89 14 09,      6.567,      0.000,      0.000,        2.566,        6.044,      0.088
124             ,   20 03 49 ,   84 47 34,      7.489,      0.000,      0.000,        2.559,        7.006,      0.680
125             ,   17 39 38 ,   82 26 46,      8.377,      0.000,      0.000,        2.519,        7.913,      1.101
126             ,   17 39 39 ,   89 40 51,      7.792,      0.000,      0.000,        2.364,        7.425,      0.043
127             ,   27 56 22 ,   95 36 00,      5.490,      0.000,      0.000,        2.560,        4.827,     -0.536
128             ,   40 39 39 ,   97 38 41,      3.955,      0.000,      0.000,        2.554,        2.973,     -0.526
129             ,   59 16 05 ,  100 27 02,      2.999,      0.000,      0.000,        2.535,        1.507,     -0.544
130             ,   92 48 38 ,  101 19 54,      2.595,      0.000,      0.000,        2.541,       -0.125,     -0.510
131             ,  122 34 46 ,   99 33 31,      3.040,      0.000,      0.000,        2.526,       -1.614,     -0.505
132             ,  140 39 14 ,   97 33 16,      3.990,      0.000,      0.000,        2.508,       -3.059,     -0.525
133             ,  155 24 35 ,   94 46 01,      6.012,      0.000,      0.000,        2.493,       -5.448,     -0.500
134             ,  156 07 23 ,   98 12 33,      5.934,      0.000,      0.000,        2.377,       -5.370,     -0.847
135             ,  146 35 50 ,  103 34 58,      4.348,      0.000,      0.000,        2.327,       -3.528,     -1.021
136             ,  125 46 35 ,  108 08 28,      3.073,      0.000,      0.000,        2.369,       -1.707,     -0.957
137             ,   81 26 07 ,  112 01 29,      2.602,      0.000,      0.000,        2.385,        0.359,     -0.976
138             ,   44 05 04 ,  106 30 14,      3.568,      0.000,      0.000,        2.380,        2.458,     -1.014
139             ,   26 14 30 ,  100 25 21,      5.525,      0.000,      0.000,        2.402,        4.874,     -0.999
140             ,   24 55 53 ,  104 10 38,      5.569,      0.000,      0.000,        2.276,        4.896,     -1.364
141             ,   38 48 17 ,  110 47 26,      3.850,      0.000,      0.000,        2.256,        2.805,     -1.367
142             ,   66 03 26 ,  120 01 15,      2.826,      0.000,      0.000,        2.237,        0.993,     -1.414
143             ,  117 40 58 ,  118 40 52,      2.867,      0.000,      0.000,        2.227,       -1.168,     -1.376
144             ,  146 56 42 ,  108 46 56,      4.270,      0.000,      0.000,        2.205,       -3.388,     -1.375
145             ,  157 01 32 ,  102 46 06,      5.851,      0.000,      0.000,        2.227,       -5.254,     -1.293
146             ,   17 19 28 ,   78 47 19,      8.814,      0.000,      0.000,        2.575,        8.253,      1.714
147             ,   17 19 37 ,   72 19 08,      9.080,      0.000,      0.000,        2.576,        8.258,      2.758
148             ,   25 12 34 ,   65 15 42,      6.649,      0.000,      0.000,        2.572,        5.464,      2.783
149             ,   25 12 32 ,   73 59 14,      6.314,      0.000,      0.000,        2.585,        5.491,      1.742
150             ,   25 12 31 ,   82 55 37,      6.128,      0.000,      0.000,        2.590,        5.502,      0.755
