   2549.5109000000,	    8553.2042000000,	   -2876.5747000000 ; 		 //plane 0 point @1 
   1179.2297000000,	    8554.5951000000,	   -1553.4990000000 ; 		 //plane 0 point @2 
  -1057.6473000000,	     -84.5025000000,	     620.7257000000 ; 		 //plane 0 point @3 
  -1521.8411000000,	   -4567.4163000000,	    1076.4030000000 ; 		 //plane 0 point @4 
   2589.9384000000,	   -4551.9148000000,	   -2893.7607000000 ; 		 //plane 0 point @5 
   2549.5109000000,	    8553.2042000000,	   -2876.5747000000 ; 		 //plane 0 point @6 
   7320.0267000000,	    8544.3273000000,	    2107.2268000000 ; 		 //plane 1 SWAP 7,8 point @8
   4586.0817000000,	    8547.1331000000,	    4674.4846000000 ; 		 //plane 1 point @7
   7337.3239000000,	    3193.0721000000,	    2101.0338000000 ; 		 //plane 1 point @9 
   3707.8089000000,	    3175.9069000000,	    5509.2983000000 ; 		 //plane 1 point @10 
   3755.8991000000,	   -4547.5191000000,	    5478.6446000000 ; 		 //plane 1 point @11 
   7362.3004000000,	   -4533.9228000000,	    2092.0914000000 ; 		 //plane 1 point @12 
   2811.2929000000,	   -4551.0803000000,	    6365.6671000000 ; 		 //plane 1 point @13 
   2853.1829000000,	    -231.2874000000,	    6318.2185000000 ; 		 //plane 1 point @14 
   8322.4604000000,	    3188.5978000000,	    3130.2029000000 ; 		 //plane 2 point @15 
   4730.5563000000,	    3171.2079000000,	    6589.2922000000 ; 		 //plane 2 point @16 
   4780.3948000000,	   -4543.6567000000,	    6560.5751000000 ; 		 //plane 2 point @17 
   8349.4991000000,	   -4530.2011000000,	    3123.4521000000 ; 		 //plane 2 point @18 
   8322.4604000000,	    3188.5978000000,	    3130.2029000000 ; 		 //plane 2 point @19 
   1179.2297000000,	    8554.5951000000,	   -1553.4990000000 ; 		 //plane 3 point @20 
   2549.5109000000,	    8553.2042000000,	   -2876.5747000000 ; 		 //plane 3 point @21 
   7320.0267000000,	    8544.3273000000,	    2107.2268000000 ; 		 //plane 3 point @22 
   4586.0817000000,	    8547.1331000000,	    4674.4846000000 ; 		 //plane 3 point @23 
   3588.6874000000,	    8548.7582000000,	    4181.1829000000 ; 		 //plane 3 point @24 
   1245.7696666667,	    8553.7863000000,	     144.3987333333 ; 		 //plane 3 point @25 
   1179.2297000000,	    8554.5951000000,	   -1553.4990000000 ; 		 //plane 3 point @26 
   7337.3239000000,	    3193.0721000000,	    2101.0338000000 ; 		 //plane 4 point @27 
   3707.8089000000,	    3175.9069000000,	    5509.2983000000 ; 		 //plane 4 point @28 
   4730.5563000000,	    3171.2079000000,	    6589.2922000000 ; 		 //plane 4 point @29 
   8322.4604000000,	    3188.5978000000,	    3130.2029000000 ; 		 //plane 4 point @30 
   7337.3239000000,	    3193.0721000000,	    2101.0338000000 ; 		 //plane 4 point @31 
   2549.5109000000,	    8553.2042000000,	   -2876.5747000000 ; 		 //plane 5 point @33 
   2589.9384000000,	   -4551.9148000000,	   -2893.7607000000 ; 		 //plane 5 swap 32, 33 point @32		
   7320.0267000000,	    8544.3273000000,	    2107.2268000000 ; 		 //plane 5 point @34 
   7337.3239000000,	    3193.0721000000,	    2101.0338000000 ; 		 //plane 5 point @35 
   8322.4604000000,	    3188.5978000000,	    3130.2029000000 ; 		 //plane 5 point @36 
   8349.4991000000,	   -4530.2011000000,	    3123.4521000000 ; 		 //plane 5 point @37 
   7362.3004000000,	   -4533.9228000000,	    2092.0914000000 ; 		 //plane 5 point @38 
  -1521.8411000000,	   -4567.4163000000,	    1076.4030000000 ; 		 //plane 6 SWAP 39, 40 point @40 		
   2589.9384000000,	   -4551.9148000000,	   -2893.7607000000 ; 		 //plane 6 point @39 
   -962.0966000000,	   -4565.3060000000,	    2209.8783000000 ; 		 //plane 6 point @41 
    173.1386000000,	   -4561.0262000000,	    4103.3650000000 ; 		 //plane 6 point @42 
   1899.1198000000,	   -4554.5192000000,	    5896.0731000000 ; 		 //plane 6 point @43 
    957.2389000000,	   -4558.0701000000,	    5411.1853000000 ; 		 //plane 6 point @44 
   2811.2929000000,	   -4551.0803000000,	    6365.6671000000 ; 		 //plane 6 point @45 
   3755.8991000000,	   -4547.5191000000,	    5478.6446000000 ; 		 //plane 6 point @46 
   4780.3948000000,	   -4543.6567000000,	    6560.5751000000 ; 		 //plane 6 point @47 
   8349.4991000000,	   -4530.2011000000,	    3123.4521000000 ; 		 //plane 6 point @48 
   7362.3004000000,	   -4533.9228000000,	    2092.0914000000 ; 		 //plane 6 point @49 
   1179.2297000000,	    8554.5951000000,	   -1553.4990000000 ; 		 //plane 7 point @50 
  -1063.7591000000,	    -108.1069000000,	     626.6663000000 ; 		 //plane 7 point @51 
   1245.7696666667,	    8553.7863000000,	     144.3987333333 ; 		 //plane 7 point @52 
   1179.2297000000,	    8554.5951000000,	   -1553.4990000000 ; 		 //plane 7 point @53 
   1245.7696666667,	    8553.7863000000,	     144.3987333333 ; 		 //plane 8 point @54 
  -1053.9178000000,	     -70.0988000000,	     623.7962000000 ; 		 //plane 8 point @55 
   -662.4588500000,	      26.1219500000,	    1393.7053000000 ; 		 //plane 8 point @56 
   1245.7696666667,	    8553.7863000000,	     144.3987333333 ; 		 //plane 8 point @57 
  -1521.8411000000,	   -4567.4163000000,	    1076.4030000000 ; 		 //plane 9 point @58 
  -1056.2432000000,	     -70.9428000000,	     619.3474000000 ; 		 //plane 9 point @59 
   -662.4588500000,	      26.1219500000,	    1393.7053000000 ; 		 //plane 9 point @60 
   -962.0966000000,	   -4565.3060000000,	    2209.8783000000 ; 		 //plane 9 point @61 
  -1521.8411000000,	   -4567.4163000000,	    1076.4030000000 ; 		 //plane 9 point @62 
   1245.7696666667,	    8553.7863000000,	     144.3987333333 ; 		 //plane 10 point @63 
   -662.4588500000,	      26.1219500000,	    1393.7053000000 ; 		 //plane 10 point @64 
   1983.7971000000,	     426.7751000000,	    5701.2225000000 ; 		 //plane 10 point @65 
   3588.6874000000,	    8548.7582000000,	    4181.1829000000 ; 		 //plane 10 point @66 
   1245.7696666667,	    8553.7863000000,	     144.3987333333 ; 		 //plane 10 point @67 
   -962.0966000000,	   -4565.3060000000,	    2209.8783000000 ; 		 //plane 11 point @68 
   -662.4588500000,	      26.1219500000,	    1393.7053000000 ; 		 //plane 11 point @69 
