     -3474.1806,	       8530.9225,	      -1445.2345 ; 		 //plane 0 point @1 
      2795.0338,	       8410.3379,	      -1425.3752 ; 		 //plane 0 point @2 
      2483.3939,	      -4909.5465,	      -1458.6396 ; 		 //plane 0 point @3 
     -3795.9933,	      -4754.0128,	      -1478.4469 ; 		 //plane 0 point @4 
     -3474.1806,	       8530.9225,	      -1445.2345 ; 		 //plane 0 point @5 
     -3475.1661,	       8490.2390,	       6884.3322 ; 		 //plane 1 point @6 
      1439.0301,	       8395.7984,	       6883.3244 ; 		 //plane 1 point @7 
      1131.9884,	      -4876.0737,	       6830.2659 ; 		 //plane 1 point @8 
     -3795.9933,	      -4754.0128,	       6831.3859 ; 		 //plane 1 point @9 
     -3475.1661,	       8490.2390,	       6884.3322 ; 		 //plane 1 point @10 
      2795.0338,	       8410.3379,	      -1425.3752 ; 		 //plane 2 point @11 
     -3474.1806,	       8530.9225,	      -1445.2345 ; 		 //plane 2 point @12 
     -3475.1661,	       8490.2390,	       6884.3322 ; 		 //plane 2 point @13 
      1439.0301,	       8395.7984,	       6883.3244 ; 		 //plane 2 point @14 
      1451.9008,	       8402.7710,	       5405.7901 ; 		 //plane 2 point @15 
      2736.9732,	       8378.2046,	       5378.9295 ; 		 //plane 2 point @16 
      3102.5377,	       8376.2595,	       4339.1808 ; 		 //plane 2 point @17 
      3140.2584,	       8398.8055,	       -423.1171 ; 		 //plane 2 point @18 
      2795.0338,	       8410.3379,	      -1425.3752 ; 		 //plane 2 point @19 
     -3474.1806,	       8530.9225,	      -1445.2345 ; 		 //plane 3 point @20 
     -3795.9933,	      -4754.0128,	      -1478.4469 ; 		 //plane 3 point @21 
     -3795.9933,	      -4754.0128,	       6831.3859 ; 		 //plane 3 point @22 
     -3475.1661,	       8490.2390,	       6884.3322 ; 		 //plane 3 point @23 
     -3474.1806,	       8530.9225,	      -1445.2345 ; 		 //plane 3 point @24 
      2483.3939,	      -4909.5465,	      -1458.6396 ; 		 //plane 4 point @25 
     -3795.9933,	      -4754.0128,	      -1478.4469 ; 		 //plane 4 point @26 
     -3795.9933,	      -4754.0128,	       6831.3859 ; 		 //plane 4 point @27 
      1131.9884,	      -4876.0737,	       6830.2659 ; 		 //plane 4 point @28 
      1144.5697,	      -4876.3853,	       5366.7494 ; 		 //plane 4 point @29 
      2435.7688,	      -4908.3669,	       5339.7358 ; 		 //plane 4 point @30 
      2795.4917,	      -4917.2769,	       4316.1302 ; 		 //plane 4 point @31 
      2832.6598,	      -4918.1975,	       -444.8459 ; 		 //plane 4 point @32 
      2483.3939,	      -4909.5465,	      -1458.6396 ; 		 //plane 4 point @33 
      2795.0338,	       8410.3379,	      -1425.3752 ; 		 //plane 5 point @34 
      2483.3939,	      -4909.5465,	      -1458.6396 ; 		 //plane 5 point @35 
      2832.6598,	      -4918.1975,	       -444.8459 ; 		 //plane 5 point @36 
      3140.2584,	       8398.8055,	       -423.1171 ; 		 //plane 5 point @37 
      2795.0338,	       8410.3379,	      -1425.3752 ; 		 //plane 5 point @38 
      3140.2584,	       8398.8055,	       -423.1171 ; 		 //plane 6 point @39 
      2832.6598,	      -4918.1975,	       -444.8459 ; 		 //plane 6 point @40 
      2795.4917,	      -4917.2769,	       4316.1302 ; 		 //plane 6 point @41 
      3102.5377,	       8376.2595,	       4339.1808 ; 		 //plane 6 point @42 
      3140.2584,	       8398.8055,	       -423.1171 ; 		 //plane 6 point @43 
      3102.5377,	       8376.2595,	       4339.1808 ; 		 //plane 7 point @44 
      2795.4917,	      -4917.2769,	       4316.1302 ; 		 //plane 7 point @45 
      2435.7688,	      -4908.3669,	       5339.7358 ; 		 //plane 7 point @46 
      2736.9732,	       8378.2046,	       5378.9295 ; 		 //plane 7 point @47 
      3102.5377,	       8376.2595,	       4339.1808 ; 		 //plane 7 point @48 
      2736.9732,	       8378.2046,	       5378.9295 ; 		 //plane 8 point @49 
      2435.7688,	      -4908.3669,	       5339.7358 ; 		 //plane 8 point @50 
      1144.5697,	      -4876.3853,	       5366.7494 ; 		 //plane 8 point @51 
      1451.9008,	       8402.7710,	       5405.7901 ; 		 //plane 8 point @52 
      2736.9732,	       8378.2046,	       5378.9295 ; 		 //plane 8 point @53 
      1451.9008,	       8402.7710,	       5405.7901 ; 		 //plane 9 point @54 
      1144.5697,	      -4876.3853,	       5366.7494 ; 		 //plane 9 point @55 
      1131.9884,	      -4876.0737,	       6830.2659 ; 		 //plane 9 point @56 
      1439.0301,	       8395.7984,	       6883.3244 ; 		 //plane 9 point @57 
      1451.9008,	       8402.7710,	       5405.7901 ; 		 //plane 9 point @58 
